run_type,incident_count,avg_delay,median_delay
Special Ed PM Run,95991,33.87236303403444,31.0
Special Ed Field Trip,2636,30.599013657056144,30.0
Pre-K/EI,47203,28.99944918755164,20.0
Special Ed AM Run,475626,28.95370101718577,30.0
General Ed Field Trip,3814,28.29601468274777,30.0
Project Read Field Trip,4,27.25,23.5
General Ed PM Run,27235,26.25048650633376,30.0
Project Read PM Run,570,24.87719298245614,20.0
Project Read AM Run,115,24.31304347826087,16.0
General Ed AM Run,98954,22.467065505184227,16.0
