vendor_cleaned,incident_count,pct_notified_schools,pct_notified_parents,avg_delay
selby transportation,8275,99.26283987915407,82.61027190332327,57.06864048338369
selby transportation corp,48,100.0,100.0,56.9375
pride transportation sch age,53768,85.9358726380003,87.72690075881565,53.88455958934682
gotham transportation corp,13,53.84615384615385,53.84615384615385,49.61538461538461
l m bus corp a,12872,86.22591671845868,81.54909881914233,49.19942510876321
happy child trans llc b2,1495,97.25752508361204,98.32775919732441,48.73779264214047
y m transit corp b2321,123,87.8048780487805,78.04878048780488,47.48780487804878
happy child transport llc,20,100.0,40.0,45.25
addies,29,93.10344827586206,44.827586206896555,44.48275862068966
jo lo bus company inc,59,100.0,96.61016949152543,44.3728813559322
